West US 2 A DC1 -> [([[West US 2 A_gateway1, GigabitEthernet0/0/1], [West US 2 A_gateway2, GigabitEthernet0/0/1]], [10.0.0.0/16])]
Belgium Central A DC1 -> [([[Belgium Central A_gateway1, GigabitEthernet0/0/1], [Belgium Central A_gateway2, GigabitEthernet0/0/1]], [13.42.0.0/16])]
Belgium Central A DC2 -> [([[Belgium Central A_gateway1, GigabitEthernet0/0/2], [Belgium Central A_gateway2, GigabitEthernet0/0/2]], [13.43.0.0/16])]
Belgium Central A DC3 -> [([[Belgium Central A_gateway1, GigabitEthernet0/0/3], [Belgium Central A_gateway2, GigabitEthernet0/0/3]], [13.44.0.0/16])]
Belgium Central A DC4 -> [([[Belgium Central A_gateway1, GigabitEthernet0/0/4], [Belgium Central A_gateway2, GigabitEthernet0/0/4]], [13.45.0.0/16])]
Belgium Central A DC5 -> [([[Belgium Central A_gateway1, GigabitEthernet0/0/5], [Belgium Central A_gateway2, GigabitEthernet0/0/5]], [13.46.0.0/16])]
Belgium Central B DC1 -> [([[Belgium Central B_gateway1, GigabitEthernet0/0/1], [Belgium Central B_gateway2, GigabitEthernet0/0/1]], [13.47.0.0/16])]
Belgium Central B DC2 -> [([[Belgium Central B_gateway1, GigabitEthernet0/0/2], [Belgium Central B_gateway2, GigabitEthernet0/0/2]], [13.48.0.0/16])]
Belgium Central B DC3 -> [([[Belgium Central B_gateway1, GigabitEthernet0/0/3], [Belgium Central B_gateway2, GigabitEthernet0/0/3]], [13.49.0.0/16])]
Belgium Central B DC4 -> [([[Belgium Central B_gateway1, GigabitEthernet0/0/4], [Belgium Central B_gateway2, GigabitEthernet0/0/4]], [13.50.0.0/16])]
Belgium Central B DC5 -> [([[Belgium Central B_gateway1, GigabitEthernet0/0/5], [Belgium Central B_gateway2, GigabitEthernet0/0/5]], [13.51.0.0/16])]
Belgium Central C DC1 -> [([[Belgium Central C_gateway1, GigabitEthernet0/0/1], [Belgium Central C_gateway2, GigabitEthernet0/0/1]], [13.52.0.0/16])]
Belgium Central C DC2 -> [([[Belgium Central C_gateway1, GigabitEthernet0/0/2], [Belgium Central C_gateway2, GigabitEthernet0/0/2]], [13.53.0.0/16])]
Belgium Central C DC3 -> [([[Belgium Central C_gateway1, GigabitEthernet0/0/3], [Belgium Central C_gateway2, GigabitEthernet0/0/3]], [13.54.0.0/16])]
Belgium Central C DC4 -> [([[Belgium Central C_gateway1, GigabitEthernet0/0/4], [Belgium Central C_gateway2, GigabitEthernet0/0/4]], [13.55.0.0/16])]
Belgium Central C DC5 -> [([[Belgium Central C_gateway1, GigabitEthernet0/0/5], [Belgium Central C_gateway2, GigabitEthernet0/0/5]], [13.56.0.0/16])]
Belgium Central D DC1 -> [([[Belgium Central D_gateway1, GigabitEthernet0/0/1], [Belgium Central D_gateway2, GigabitEthernet0/0/1]], [13.57.0.0/16])]
Belgium Central D DC2 -> [([[Belgium Central D_gateway1, GigabitEthernet0/0/2], [Belgium Central D_gateway2, GigabitEthernet0/0/2]], [13.58.0.0/16])]
Belgium Central D DC3 -> [([[Belgium Central D_gateway1, GigabitEthernet0/0/3], [Belgium Central D_gateway2, GigabitEthernet0/0/3]], [13.59.0.0/16])]
Belgium Central D DC4 -> [([[Belgium Central D_gateway1, GigabitEthernet0/0/4], [Belgium Central D_gateway2, GigabitEthernet0/0/4]], [13.60.0.0/16])]
Belgium Central D DC5 -> [([[Belgium Central D_gateway1, GigabitEthernet0/0/5], [Belgium Central D_gateway2, GigabitEthernet0/0/5]], [13.61.0.0/16])]
Belgium Central E DC1 -> [([[Belgium Central E_gateway1, GigabitEthernet0/0/1], [Belgium Central E_gateway2, GigabitEthernet0/0/1]], [13.62.0.0/16])]
Belgium Central E DC2 -> [([[Belgium Central E_gateway1, GigabitEthernet0/0/2], [Belgium Central E_gateway2, GigabitEthernet0/0/2]], [13.63.0.0/16])]
Belgium Central E DC3 -> [([[Belgium Central E_gateway1, GigabitEthernet0/0/3], [Belgium Central E_gateway2, GigabitEthernet0/0/3]], [13.64.0.0/16])]
Belgium Central E DC4 -> [([[Belgium Central E_gateway1, GigabitEthernet0/0/4], [Belgium Central E_gateway2, GigabitEthernet0/0/4]], [13.65.0.0/16])]
Belgium Central E DC5 -> [([[Belgium Central E_gateway1, GigabitEthernet0/0/5], [Belgium Central E_gateway2, GigabitEthernet0/0/5]], [13.66.0.0/16])]
Belgium Central F DC1 -> [([[Belgium Central F_gateway1, GigabitEthernet0/0/1], [Belgium Central F_gateway2, GigabitEthernet0/0/1]], [13.67.0.0/16])]
Belgium Central F DC2 -> [([[Belgium Central F_gateway1, GigabitEthernet0/0/2], [Belgium Central F_gateway2, GigabitEthernet0/0/2]], [13.68.0.0/16])]
Belgium Central F DC3 -> [([[Belgium Central F_gateway1, GigabitEthernet0/0/3], [Belgium Central F_gateway2, GigabitEthernet0/0/3]], [13.69.0.0/16])]
Belgium Central F DC4 -> [([[Belgium Central F_gateway1, GigabitEthernet0/0/4], [Belgium Central F_gateway2, GigabitEthernet0/0/4]], [13.70.0.0/16])]
Belgium Central F DC5 -> [([[Belgium Central F_gateway1, GigabitEthernet0/0/5], [Belgium Central F_gateway2, GigabitEthernet0/0/5]], [13.71.0.0/16])]
Denmark East A DC1 -> [([[Denmark East A_gateway1, GigabitEthernet0/0/1], [Denmark East A_gateway2, GigabitEthernet0/0/1]], [13.72.0.0/16])]
Denmark East A DC2 -> [([[Denmark East A_gateway1, GigabitEthernet0/0/2], [Denmark East A_gateway2, GigabitEthernet0/0/2]], [13.73.0.0/16])]
Denmark East A DC3 -> [([[Denmark East A_gateway1, GigabitEthernet0/0/3], [Denmark East A_gateway2, GigabitEthernet0/0/3]], [13.74.0.0/16])]
Denmark East A DC4 -> [([[Denmark East A_gateway1, GigabitEthernet0/0/4], [Denmark East A_gateway2, GigabitEthernet0/0/4]], [13.75.0.0/16])]
Denmark East A DC5 -> [([[Denmark East A_gateway1, GigabitEthernet0/0/5], [Denmark East A_gateway2, GigabitEthernet0/0/5]], [13.76.0.0/16])]
Denmark East B DC1 -> [([[Denmark East B_gateway1, GigabitEthernet0/0/1], [Denmark East B_gateway2, GigabitEthernet0/0/1]], [13.77.0.0/16])]
Denmark East B DC2 -> [([[Denmark East B_gateway1, GigabitEthernet0/0/2], [Denmark East B_gateway2, GigabitEthernet0/0/2]], [13.78.0.0/16])]
Denmark East B DC3 -> [([[Denmark East B_gateway1, GigabitEthernet0/0/3], [Denmark East B_gateway2, GigabitEthernet0/0/3]], [13.79.0.0/16])]
Denmark East B DC4 -> [([[Denmark East B_gateway1, GigabitEthernet0/0/4], [Denmark East B_gateway2, GigabitEthernet0/0/4]], [13.80.0.0/16])]
Denmark East B DC5 -> [([[Denmark East B_gateway1, GigabitEthernet0/0/5], [Denmark East B_gateway2, GigabitEthernet0/0/5]], [13.81.0.0/16])]
Denmark East C DC1 -> [([[Denmark East C_gateway1, GigabitEthernet0/0/1], [Denmark East C_gateway2, GigabitEthernet0/0/1]], [13.82.0.0/16])]
Denmark East C DC2 -> [([[Denmark East C_gateway1, GigabitEthernet0/0/2], [Denmark East C_gateway2, GigabitEthernet0/0/2]], [13.83.0.0/16])]
Denmark East C DC3 -> [([[Denmark East C_gateway1, GigabitEthernet0/0/3], [Denmark East C_gateway2, GigabitEthernet0/0/3]], [13.84.0.0/16])]
Denmark East C DC4 -> [([[Denmark East C_gateway1, GigabitEthernet0/0/4], [Denmark East C_gateway2, GigabitEthernet0/0/4]], [13.85.0.0/16])]
Denmark East C DC5 -> [([[Denmark East C_gateway1, GigabitEthernet0/0/5], [Denmark East C_gateway2, GigabitEthernet0/0/5]], [13.86.0.0/16])]
Denmark East D DC1 -> [([[Denmark East D_gateway1, GigabitEthernet0/0/1], [Denmark East D_gateway2, GigabitEthernet0/0/1]], [13.87.0.0/16])]
Denmark East D DC2 -> [([[Denmark East D_gateway1, GigabitEthernet0/0/2], [Denmark East D_gateway2, GigabitEthernet0/0/2]], [13.88.0.0/16])]
Denmark East D DC3 -> [([[Denmark East D_gateway1, GigabitEthernet0/0/3], [Denmark East D_gateway2, GigabitEthernet0/0/3]], [13.89.0.0/16])]
Denmark East D DC4 -> [([[Denmark East D_gateway1, GigabitEthernet0/0/4], [Denmark East D_gateway2, GigabitEthernet0/0/4]], [13.90.0.0/16])]
Denmark East D DC5 -> [([[Denmark East D_gateway1, GigabitEthernet0/0/5], [Denmark East D_gateway2, GigabitEthernet0/0/5]], [13.91.0.0/16])]
Denmark East E DC1 -> [([[Denmark East E_gateway1, GigabitEthernet0/0/1], [Denmark East E_gateway2, GigabitEthernet0/0/1]], [13.92.0.0/16])]
Denmark East E DC2 -> [([[Denmark East E_gateway1, GigabitEthernet0/0/2], [Denmark East E_gateway2, GigabitEthernet0/0/2]], [13.93.0.0/16])]
Denmark East E DC3 -> [([[Denmark East E_gateway1, GigabitEthernet0/0/3], [Denmark East E_gateway2, GigabitEthernet0/0/3]], [13.94.0.0/16])]
Denmark East E DC4 -> [([[Denmark East E_gateway1, GigabitEthernet0/0/4], [Denmark East E_gateway2, GigabitEthernet0/0/4]], [13.95.0.0/16])]
Denmark East E DC5 -> [([[Denmark East E_gateway1, GigabitEthernet0/0/5], [Denmark East E_gateway2, GigabitEthernet0/0/5]], [13.96.0.0/16])]
Denmark East F DC1 -> [([[Denmark East F_gateway1, GigabitEthernet0/0/1], [Denmark East F_gateway2, GigabitEthernet0/0/1]], [13.97.0.0/16])]
Denmark East F DC2 -> [([[Denmark East F_gateway1, GigabitEthernet0/0/2], [Denmark East F_gateway2, GigabitEthernet0/0/2]], [13.98.0.0/16])]
Denmark East F DC3 -> [([[Denmark East F_gateway1, GigabitEthernet0/0/3], [Denmark East F_gateway2, GigabitEthernet0/0/3]], [13.99.0.0/16])]
Denmark East F DC4 -> [([[Denmark East F_gateway1, GigabitEthernet0/0/4], [Denmark East F_gateway2, GigabitEthernet0/0/4]], [13.100.0.0/16])]
Denmark East F DC5 -> [([[Denmark East F_gateway1, GigabitEthernet0/0/5], [Denmark East F_gateway2, GigabitEthernet0/0/5]], [13.101.0.0/16])]
Finland Central A DC1 -> [([[Finland Central A_gateway1, GigabitEthernet0/0/1], [Finland Central A_gateway2, GigabitEthernet0/0/1]], [13.102.0.0/16])]
Finland Central A DC2 -> [([[Finland Central A_gateway1, GigabitEthernet0/0/2], [Finland Central A_gateway2, GigabitEthernet0/0/2]], [13.103.0.0/16])]
Finland Central A DC3 -> [([[Finland Central A_gateway1, GigabitEthernet0/0/3], [Finland Central A_gateway2, GigabitEthernet0/0/3]], [13.104.0.0/16])]
Finland Central A DC4 -> [([[Finland Central A_gateway1, GigabitEthernet0/0/4], [Finland Central A_gateway2, GigabitEthernet0/0/4]], [13.105.0.0/16])]
Finland Central A DC5 -> [([[Finland Central A_gateway1, GigabitEthernet0/0/5], [Finland Central A_gateway2, GigabitEthernet0/0/5]], [13.106.0.0/16])]
Finland Central B DC1 -> [([[Finland Central B_gateway1, GigabitEthernet0/0/1], [Finland Central B_gateway2, GigabitEthernet0/0/1]], [13.107.0.0/16])]
Finland Central B DC2 -> [([[Finland Central B_gateway1, GigabitEthernet0/0/2], [Finland Central B_gateway2, GigabitEthernet0/0/2]], [13.108.0.0/16])]
Finland Central B DC3 -> [([[Finland Central B_gateway1, GigabitEthernet0/0/3], [Finland Central B_gateway2, GigabitEthernet0/0/3]], [13.109.0.0/16])]
Finland Central B DC4 -> [([[Finland Central B_gateway1, GigabitEthernet0/0/4], [Finland Central B_gateway2, GigabitEthernet0/0/4]], [13.110.0.0/16])]
Finland Central B DC5 -> [([[Finland Central B_gateway1, GigabitEthernet0/0/5], [Finland Central B_gateway2, GigabitEthernet0/0/5]], [13.111.0.0/16])]
Finland Central C DC1 -> [([[Finland Central C_gateway1, GigabitEthernet0/0/1], [Finland Central C_gateway2, GigabitEthernet0/0/1]], [13.112.0.0/16])]
Finland Central C DC2 -> [([[Finland Central C_gateway1, GigabitEthernet0/0/2], [Finland Central C_gateway2, GigabitEthernet0/0/2]], [13.113.0.0/16])]
Finland Central C DC3 -> [([[Finland Central C_gateway1, GigabitEthernet0/0/3], [Finland Central C_gateway2, GigabitEthernet0/0/3]], [13.114.0.0/16])]
Finland Central C DC4 -> [([[Finland Central C_gateway1, GigabitEthernet0/0/4], [Finland Central C_gateway2, GigabitEthernet0/0/4]], [13.115.0.0/16])]
Finland Central C DC5 -> [([[Finland Central C_gateway1, GigabitEthernet0/0/5], [Finland Central C_gateway2, GigabitEthernet0/0/5]], [13.116.0.0/16])]
Finland Central D DC1 -> [([[Finland Central D_gateway1, GigabitEthernet0/0/1], [Finland Central D_gateway2, GigabitEthernet0/0/1]], [13.117.0.0/16])]
Finland Central D DC2 -> [([[Finland Central D_gateway1, GigabitEthernet0/0/2], [Finland Central D_gateway2, GigabitEthernet0/0/2]], [13.118.0.0/16])]
Finland Central D DC3 -> [([[Finland Central D_gateway1, GigabitEthernet0/0/3], [Finland Central D_gateway2, GigabitEthernet0/0/3]], [13.119.0.0/16])]
Finland Central D DC4 -> [([[Finland Central D_gateway1, GigabitEthernet0/0/4], [Finland Central D_gateway2, GigabitEthernet0/0/4]], [13.120.0.0/16])]
Finland Central D DC5 -> [([[Finland Central D_gateway1, GigabitEthernet0/0/5], [Finland Central D_gateway2, GigabitEthernet0/0/5]], [13.121.0.0/16])]
Finland Central E DC1 -> [([[Finland Central E_gateway1, GigabitEthernet0/0/1], [Finland Central E_gateway2, GigabitEthernet0/0/1]], [13.122.0.0/16])]
Finland Central E DC2 -> [([[Finland Central E_gateway1, GigabitEthernet0/0/2], [Finland Central E_gateway2, GigabitEthernet0/0/2]], [13.123.0.0/16])]
Finland Central E DC3 -> [([[Finland Central E_gateway1, GigabitEthernet0/0/3], [Finland Central E_gateway2, GigabitEthernet0/0/3]], [13.124.0.0/16])]
Finland Central E DC4 -> [([[Finland Central E_gateway1, GigabitEthernet0/0/4], [Finland Central E_gateway2, GigabitEthernet0/0/4]], [13.125.0.0/16])]
Finland Central E DC5 -> [([[Finland Central E_gateway1, GigabitEthernet0/0/5], [Finland Central E_gateway2, GigabitEthernet0/0/5]], [13.126.0.0/16])]
Finland Central F DC1 -> [([[Finland Central F_gateway1, GigabitEthernet0/0/1], [Finland Central F_gateway2, GigabitEthernet0/0/1]], [13.127.0.0/16])]
Finland Central F DC2 -> [([[Finland Central F_gateway1, GigabitEthernet0/0/2], [Finland Central F_gateway2, GigabitEthernet0/0/2]], [13.128.0.0/16])]
Finland Central F DC3 -> [([[Finland Central F_gateway1, GigabitEthernet0/0/3], [Finland Central F_gateway2, GigabitEthernet0/0/3]], [13.129.0.0/16])]
Finland Central F DC4 -> [([[Finland Central F_gateway1, GigabitEthernet0/0/4], [Finland Central F_gateway2, GigabitEthernet0/0/4]], [13.130.0.0/16])]
Finland Central F DC5 -> [([[Finland Central F_gateway1, GigabitEthernet0/0/5], [Finland Central F_gateway2, GigabitEthernet0/0/5]], [13.131.0.0/16])]
Austria East A DC1 -> [([[Austria East A_gateway1, GigabitEthernet0/0/1], [Austria East A_gateway2, GigabitEthernet0/0/1]], [13.132.0.0/16])]
Austria East A DC2 -> [([[Austria East A_gateway1, GigabitEthernet0/0/2], [Austria East A_gateway2, GigabitEthernet0/0/2]], [13.133.0.0/16])]
Austria East A DC3 -> [([[Austria East A_gateway1, GigabitEthernet0/0/3], [Austria East A_gateway2, GigabitEthernet0/0/3]], [13.134.0.0/16])]
Austria East A DC4 -> [([[Austria East A_gateway1, GigabitEthernet0/0/4], [Austria East A_gateway2, GigabitEthernet0/0/4]], [13.135.0.0/16])]
Austria East A DC5 -> [([[Austria East A_gateway1, GigabitEthernet0/0/5], [Austria East A_gateway2, GigabitEthernet0/0/5]], [13.136.0.0/16])]
Austria East B DC1 -> [([[Austria East B_gateway1, GigabitEthernet0/0/1], [Austria East B_gateway2, GigabitEthernet0/0/1]], [13.137.0.0/16])]
Austria East B DC2 -> [([[Austria East B_gateway1, GigabitEthernet0/0/2], [Austria East B_gateway2, GigabitEthernet0/0/2]], [13.138.0.0/16])]
Austria East B DC3 -> [([[Austria East B_gateway1, GigabitEthernet0/0/3], [Austria East B_gateway2, GigabitEthernet0/0/3]], [13.139.0.0/16])]
Austria East B DC4 -> [([[Austria East B_gateway1, GigabitEthernet0/0/4], [Austria East B_gateway2, GigabitEthernet0/0/4]], [13.140.0.0/16])]
Austria East B DC5 -> [([[Austria East B_gateway1, GigabitEthernet0/0/5], [Austria East B_gateway2, GigabitEthernet0/0/5]], [13.141.0.0/16])]
Austria East C DC1 -> [([[Austria East C_gateway1, GigabitEthernet0/0/1], [Austria East C_gateway2, GigabitEthernet0/0/1]], [13.142.0.0/16])]
Austria East C DC2 -> [([[Austria East C_gateway1, GigabitEthernet0/0/2], [Austria East C_gateway2, GigabitEthernet0/0/2]], [13.143.0.0/16])]
Austria East C DC3 -> [([[Austria East C_gateway1, GigabitEthernet0/0/3], [Austria East C_gateway2, GigabitEthernet0/0/3]], [13.144.0.0/16])]
Austria East C DC4 -> [([[Austria East C_gateway1, GigabitEthernet0/0/4], [Austria East C_gateway2, GigabitEthernet0/0/4]], [13.145.0.0/16])]
Austria East C DC5 -> [([[Austria East C_gateway1, GigabitEthernet0/0/5], [Austria East C_gateway2, GigabitEthernet0/0/5]], [13.146.0.0/16])]
Austria East D DC1 -> [([[Austria East D_gateway1, GigabitEthernet0/0/1], [Austria East D_gateway2, GigabitEthernet0/0/1]], [13.147.0.0/16])]
Austria East D DC2 -> [([[Austria East D_gateway1, GigabitEthernet0/0/2], [Austria East D_gateway2, GigabitEthernet0/0/2]], [13.148.0.0/16])]
Austria East D DC3 -> [([[Austria East D_gateway1, GigabitEthernet0/0/3], [Austria East D_gateway2, GigabitEthernet0/0/3]], [13.149.0.0/16])]
Austria East D DC4 -> [([[Austria East D_gateway1, GigabitEthernet0/0/4], [Austria East D_gateway2, GigabitEthernet0/0/4]], [13.150.0.0/16])]
Austria East D DC5 -> [([[Austria East D_gateway1, GigabitEthernet0/0/5], [Austria East D_gateway2, GigabitEthernet0/0/5]], [13.151.0.0/16])]
Austria East E DC1 -> [([[Austria East E_gateway1, GigabitEthernet0/0/1], [Austria East E_gateway2, GigabitEthernet0/0/1]], [13.152.0.0/16])]
Austria East E DC2 -> [([[Austria East E_gateway1, GigabitEthernet0/0/2], [Austria East E_gateway2, GigabitEthernet0/0/2]], [13.153.0.0/16])]
Austria East E DC3 -> [([[Austria East E_gateway1, GigabitEthernet0/0/3], [Austria East E_gateway2, GigabitEthernet0/0/3]], [13.154.0.0/16])]
Austria East E DC4 -> [([[Austria East E_gateway1, GigabitEthernet0/0/4], [Austria East E_gateway2, GigabitEthernet0/0/4]], [13.155.0.0/16])]
Austria East E DC5 -> [([[Austria East E_gateway1, GigabitEthernet0/0/5], [Austria East E_gateway2, GigabitEthernet0/0/5]], [13.156.0.0/16])]
Austria East F DC1 -> [([[Austria East F_gateway1, GigabitEthernet0/0/1], [Austria East F_gateway2, GigabitEthernet0/0/1]], [13.157.0.0/16])]
Austria East F DC2 -> [([[Austria East F_gateway1, GigabitEthernet0/0/2], [Austria East F_gateway2, GigabitEthernet0/0/2]], [13.158.0.0/16])]
Austria East F DC3 -> [([[Austria East F_gateway1, GigabitEthernet0/0/3], [Austria East F_gateway2, GigabitEthernet0/0/3]], [13.159.0.0/16])]
Austria East F DC4 -> [([[Austria East F_gateway1, GigabitEthernet0/0/4], [Austria East F_gateway2, GigabitEthernet0/0/4]], [13.160.0.0/16])]
Austria East F DC5 -> [([[Austria East F_gateway1, GigabitEthernet0/0/5], [Austria East F_gateway2, GigabitEthernet0/0/5]], [13.161.0.0/16])]
Greece Central A DC1 -> [([[Greece Central A_gateway1, GigabitEthernet0/0/1], [Greece Central A_gateway2, GigabitEthernet0/0/1]], [13.162.0.0/16])]
Greece Central A DC2 -> [([[Greece Central A_gateway1, GigabitEthernet0/0/2], [Greece Central A_gateway2, GigabitEthernet0/0/2]], [13.163.0.0/16])]
Greece Central A DC3 -> [([[Greece Central A_gateway1, GigabitEthernet0/0/3], [Greece Central A_gateway2, GigabitEthernet0/0/3]], [13.164.0.0/16])]
Greece Central A DC4 -> [([[Greece Central A_gateway1, GigabitEthernet0/0/4], [Greece Central A_gateway2, GigabitEthernet0/0/4]], [13.165.0.0/16])]
Greece Central A DC5 -> [([[Greece Central A_gateway1, GigabitEthernet0/0/5], [Greece Central A_gateway2, GigabitEthernet0/0/5]], [13.166.0.0/16])]
Greece Central B DC1 -> [([[Greece Central B_gateway1, GigabitEthernet0/0/1], [Greece Central B_gateway2, GigabitEthernet0/0/1]], [13.167.0.0/16])]
Greece Central B DC2 -> [([[Greece Central B_gateway1, GigabitEthernet0/0/2], [Greece Central B_gateway2, GigabitEthernet0/0/2]], [13.168.0.0/16])]
Greece Central B DC3 -> [([[Greece Central B_gateway1, GigabitEthernet0/0/3], [Greece Central B_gateway2, GigabitEthernet0/0/3]], [13.169.0.0/16])]
Greece Central B DC4 -> [([[Greece Central B_gateway1, GigabitEthernet0/0/4], [Greece Central B_gateway2, GigabitEthernet0/0/4]], [13.170.0.0/16])]
Greece Central B DC5 -> [([[Greece Central B_gateway1, GigabitEthernet0/0/5], [Greece Central B_gateway2, GigabitEthernet0/0/5]], [13.171.0.0/16])]
Greece Central C DC1 -> [([[Greece Central C_gateway1, GigabitEthernet0/0/1], [Greece Central C_gateway2, GigabitEthernet0/0/1]], [13.172.0.0/16])]
Greece Central C DC2 -> [([[Greece Central C_gateway1, GigabitEthernet0/0/2], [Greece Central C_gateway2, GigabitEthernet0/0/2]], [13.173.0.0/16])]
Greece Central C DC3 -> [([[Greece Central C_gateway1, GigabitEthernet0/0/3], [Greece Central C_gateway2, GigabitEthernet0/0/3]], [13.174.0.0/16])]
Greece Central C DC4 -> [([[Greece Central C_gateway1, GigabitEthernet0/0/4], [Greece Central C_gateway2, GigabitEthernet0/0/4]], [13.175.0.0/16])]
Greece Central C DC5 -> [([[Greece Central C_gateway1, GigabitEthernet0/0/5], [Greece Central C_gateway2, GigabitEthernet0/0/5]], [13.176.0.0/16])]
Greece Central D DC1 -> [([[Greece Central D_gateway1, GigabitEthernet0/0/1], [Greece Central D_gateway2, GigabitEthernet0/0/1]], [13.177.0.0/16])]
Greece Central D DC2 -> [([[Greece Central D_gateway1, GigabitEthernet0/0/2], [Greece Central D_gateway2, GigabitEthernet0/0/2]], [13.178.0.0/16])]
Greece Central D DC3 -> [([[Greece Central D_gateway1, GigabitEthernet0/0/3], [Greece Central D_gateway2, GigabitEthernet0/0/3]], [13.179.0.0/16])]
Greece Central D DC4 -> [([[Greece Central D_gateway1, GigabitEthernet0/0/4], [Greece Central D_gateway2, GigabitEthernet0/0/4]], [13.180.0.0/16])]
Greece Central D DC5 -> [([[Greece Central D_gateway1, GigabitEthernet0/0/5], [Greece Central D_gateway2, GigabitEthernet0/0/5]], [13.181.0.0/16])]
Greece Central E DC1 -> [([[Greece Central E_gateway1, GigabitEthernet0/0/1], [Greece Central E_gateway2, GigabitEthernet0/0/1]], [13.182.0.0/16])]
Greece Central E DC2 -> [([[Greece Central E_gateway1, GigabitEthernet0/0/2], [Greece Central E_gateway2, GigabitEthernet0/0/2]], [13.183.0.0/16])]
Greece Central E DC3 -> [([[Greece Central E_gateway1, GigabitEthernet0/0/3], [Greece Central E_gateway2, GigabitEthernet0/0/3]], [13.184.0.0/16])]
Greece Central E DC4 -> [([[Greece Central E_gateway1, GigabitEthernet0/0/4], [Greece Central E_gateway2, GigabitEthernet0/0/4]], [13.185.0.0/16])]
Greece Central E DC5 -> [([[Greece Central E_gateway1, GigabitEthernet0/0/5], [Greece Central E_gateway2, GigabitEthernet0/0/5]], [13.186.0.0/16])]
Greece Central F DC1 -> [([[Greece Central F_gateway1, GigabitEthernet0/0/1], [Greece Central F_gateway2, GigabitEthernet0/0/1]], [13.187.0.0/16])]
Greece Central F DC2 -> [([[Greece Central F_gateway1, GigabitEthernet0/0/2], [Greece Central F_gateway2, GigabitEthernet0/0/2]], [13.188.0.0/16])]
Greece Central F DC3 -> [([[Greece Central F_gateway1, GigabitEthernet0/0/3], [Greece Central F_gateway2, GigabitEthernet0/0/3]], [13.189.0.0/16])]
Greece Central F DC4 -> [([[Greece Central F_gateway1, GigabitEthernet0/0/4], [Greece Central F_gateway2, GigabitEthernet0/0/4]], [13.190.0.0/16])]
Greece Central F DC5 -> [([[Greece Central F_gateway1, GigabitEthernet0/0/5], [Greece Central F_gateway2, GigabitEthernet0/0/5]], [13.191.0.0/16])]
South Africa North A DC1 -> [([[South Africa North A_gateway1, GigabitEthernet0/0/1], [South Africa North A_gateway2, GigabitEthernet0/0/1]], [13.192.0.0/16])]
South Africa North A DC2 -> [([[South Africa North A_gateway1, GigabitEthernet0/0/2], [South Africa North A_gateway2, GigabitEthernet0/0/2]], [13.193.0.0/16])]
South Africa North A DC3 -> [([[South Africa North A_gateway1, GigabitEthernet0/0/3], [South Africa North A_gateway2, GigabitEthernet0/0/3]], [13.194.0.0/16])]
South Africa North A DC4 -> [([[South Africa North A_gateway1, GigabitEthernet0/0/4], [South Africa North A_gateway2, GigabitEthernet0/0/4]], [13.195.0.0/16])]
South Africa North A DC5 -> [([[South Africa North A_gateway1, GigabitEthernet0/0/5], [South Africa North A_gateway2, GigabitEthernet0/0/5]], [13.196.0.0/16])]
South Africa North B DC1 -> [([[South Africa North B_gateway1, GigabitEthernet0/0/1], [South Africa North B_gateway2, GigabitEthernet0/0/1]], [13.197.0.0/16])]
South Africa North B DC2 -> [([[South Africa North B_gateway1, GigabitEthernet0/0/2], [South Africa North B_gateway2, GigabitEthernet0/0/2]], [13.198.0.0/16])]
South Africa North B DC3 -> [([[South Africa North B_gateway1, GigabitEthernet0/0/3], [South Africa North B_gateway2, GigabitEthernet0/0/3]], [13.199.0.0/16])]
South Africa North B DC4 -> [([[South Africa North B_gateway1, GigabitEthernet0/0/4], [South Africa North B_gateway2, GigabitEthernet0/0/4]], [13.200.0.0/16])]
South Africa North B DC5 -> [([[South Africa North B_gateway1, GigabitEthernet0/0/5], [South Africa North B_gateway2, GigabitEthernet0/0/5]], [13.201.0.0/16])]
South Africa North C DC1 -> [([[South Africa North C_gateway1, GigabitEthernet0/0/1], [South Africa North C_gateway2, GigabitEthernet0/0/1]], [13.202.0.0/16])]
South Africa North C DC2 -> [([[South Africa North C_gateway1, GigabitEthernet0/0/2], [South Africa North C_gateway2, GigabitEthernet0/0/2]], [13.203.0.0/16])]
South Africa North C DC3 -> [([[South Africa North C_gateway1, GigabitEthernet0/0/3], [South Africa North C_gateway2, GigabitEthernet0/0/3]], [13.204.0.0/16])]
South Africa North C DC4 -> [([[South Africa North C_gateway1, GigabitEthernet0/0/4], [South Africa North C_gateway2, GigabitEthernet0/0/4]], [13.205.0.0/16])]
South Africa North C DC5 -> [([[South Africa North C_gateway1, GigabitEthernet0/0/5], [South Africa North C_gateway2, GigabitEthernet0/0/5]], [13.206.0.0/16])]
South Africa North D DC1 -> [([[South Africa North D_gateway1, GigabitEthernet0/0/1], [South Africa North D_gateway2, GigabitEthernet0/0/1]], [13.207.0.0/16])]
South Africa North D DC2 -> [([[South Africa North D_gateway1, GigabitEthernet0/0/2], [South Africa North D_gateway2, GigabitEthernet0/0/2]], [13.208.0.0/16])]
South Africa North D DC3 -> [([[South Africa North D_gateway1, GigabitEthernet0/0/3], [South Africa North D_gateway2, GigabitEthernet0/0/3]], [13.209.0.0/16])]
South Africa North D DC4 -> [([[South Africa North D_gateway1, GigabitEthernet0/0/4], [South Africa North D_gateway2, GigabitEthernet0/0/4]], [13.210.0.0/16])]
